"Catégorie","Produit","Lieu ","Prix moyen","Disponibilité","Evolution du prix","Zone de disponibilité","Date"
"LES BONS CRENEAUX DE LA PERIODE","POIVRON (kg)","MAN",2000,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CONCOMBRE (kg)","MAN",300,"moyenne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","COURGETTE (kg)","MAN",300,"Bonne","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CHOU (kg)","MAN",600,"En hausse","En hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GRAINE DE PALME  (kg)","MAN",150,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME BETE BETE (kg)","KORHOGO",350,"Bonne","bas et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME KLEGLE (kg)","KORHOGO",400,"Moyen","dents de scie",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POMME DE TERRE (kg)","KORHOGO",500,"Bonne","Moyen et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AVOCAT (kg)","KORHOGO",500,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","MANGUES","KORHOGO",150,"Bonne",,,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POULET DE CHAIR (kg)","KORHOGO",2000,"moyenne","hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON BLANC  (kg)","KORHOGO",500,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON VIOLET - NIGER-BF (kg)","KORHOGO",500,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","TOMATE TYPE SALADE  (kg)","KORHOGO",800,"Moyen","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GOMBO (kg)","KORHOGO",400,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AUBERGINE N'DROWA  (kg)","KORHOGO",300,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CAROTTE (kg)","KORHOGO",1500,"Moyen","Moyen",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POIVRON (kg)","KORHOGO",1500,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CONCOMBRE (kg)","KORHOGO",300,"moyenne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","COURGETTE (kg)","KORHOGO",250,"Bonne","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CHOU (kg)","KORHOGO",400,"En hausse","En hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GRAINE DE PALME  (kg)","KORHOGO",250,"Moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","NAVET (kg)","ABIDJAN",800,"Moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PIMENT (kg)","ABIDJAN",1300,"moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ARACHIDE (400 g.)","ABIDJAN",1000,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE PISTACHE(400 g.)","ABIDJAN",2000,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ANACARDE(500 g.)","ABIDJAN",2300,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","GOMBO SEC EN POUDRE (400g.)","ABIDJAN",700,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","HARICOT VERT (kg)","ABIDJAN",1000,"Moyen","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATATE DOUCE","ABIDJAN",400,"hausse","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","BANANE PLANTAIN (kg)","ABIDJAN",800,"faible","hausse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","NAVET (kg)","SAN-PÉDRO",800,"Moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PIMENT (kg)","SAN-PÉDRO",1300,"moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ARACHIDE (400 g.)","SAN-PÉDRO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE PISTACHE(400 g.)","SAN-PÉDRO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ANACARDE(500 g.)","SAN-PÉDRO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","GOMBO SEC EN POUDRE (400g.)","SAN-PÉDRO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","HARICOT VERT (kg)","SAN-PÉDRO",800,"Moyen","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATATE DOUCE","SAN-PÉDRO",450,"hausse","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","BANANE PLANTAIN (kg)","SAN-PÉDRO",500,"faible","hausse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","NAVET (kg)","BOUAKÉ",500,"Moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PIMENT (kg)","BOUAKÉ",1200,"moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ARACHIDE (400 g.)","BOUAKÉ",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE PISTACHE(400 g.)","BOUAKÉ",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ANACARDE(500 g.)","BOUAKÉ",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","GOMBO SEC EN POUDRE (400g.)","BOUAKÉ",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","HARICOT VERT (kg)","BOUAKÉ",600,"Moyen","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATATE DOUCE","BOUAKÉ",500,"hausse","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","BANANE PLANTAIN (kg)","BOUAKÉ",500,"faible","hausse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","NAVET (kg)","YAKRO",500,"Moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PIMENT (kg)","YAKRO",500,"moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ARACHIDE (400 g.)","YAKRO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE PISTACHE(400 g.)","YAKRO",1000,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ANACARDE(500 g.)","YAKRO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","GOMBO SEC EN POUDRE (400g.)","YAKRO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","HARICOT VERT (kg)","YAKRO",1500,"Moyen","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATATE DOUCE","YAKRO",500,"hausse","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","BANANE PLANTAIN (kg)","YAKRO",500,"faible","hausse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","NAVET (kg)","MAN",600,"Moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PIMENT (kg)","MAN",1000,"moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ARACHIDE (400 g.)","MAN",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE PISTACHE(400 g.)","MAN",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ANACARDE(500 g.)","MAN",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","GOMBO SEC EN POUDRE (400g.)","MAN",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","HARICOT VERT (kg)","MAN",1500,"Moyen","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATATE DOUCE","MAN",500,"hausse","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","BANANE PLANTAIN (kg)","MAN",400,"faible","hausse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","NAVET (kg)","KORHOGO",600,"Moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PIMENT (kg)","KORHOGO",1000,"moyen","stable",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ARACHIDE (400 g.)","KORHOGO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE PISTACHE(400 g.)","KORHOGO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATE ANACARDE(500 g.)","KORHOGO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","GOMBO SEC EN POUDRE (400g.)","KORHOGO",,,,,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","HARICOT VERT (kg)","KORHOGO",1500,"Moyen","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","PATATE DOUCE","KORHOGO",300,"hausse","Baisse",,"2022-07-03"
"LES AUTRES INDISPENSABLES POUR VOS REPAS","BANANE PLANTAIN (kg)","KORHOGO",500,"faible","hausse",,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF SANS OS (kg)","ABIDJAN",3000,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF AVEC OS (kg)","ABIDJAN",2800,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","POISSON SOSSO IMPORTE (kg)","ABIDJAN",2500,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CHICHARD IMPORTE (kg)","ABIDJAN",2000,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CARPE IMPORTE (kg)","ABIDJAN",2200,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON THON  (kg)","ABIDJAN",850,,,,"2022-07-03"
"VOS PROTEINES","POISSON MAQUERO IMPORTE (kg)","ABIDJAN",1500,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE MOUTON (kg)","ABIDJAN",4300,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","KPLO (unité moyen)","ABIDJAN",500,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","PONDEUSES (kg)","ABIDJAN",2500,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE PORC (kg)","ABIDJAN",2000,,,,"2022-07-03"
"VOS PROTEINES","COTE DE PORC (kg","ABIDJAN",1200,,,,"2022-07-03"
"VOS PROTEINES","PATE DE PORC (kg)","ABIDJAN",1200,,,,"2022-07-03"
"VOS PROTEINES","PATE DE BŒUF (kg)","ABIDJAN",1200,,,,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF SANS OS (kg)","SAN-PÉDRO",3000,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF AVEC OS (kg)","SAN-PÉDRO",2600,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","POISSON SOSSO IMPORTE (kg)","SAN-PÉDRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CHICHARD IMPORTE (kg)","SAN-PÉDRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CARPE IMPORTE (kg)","SAN-PÉDRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON THON  (kg)","SAN-PÉDRO",,,,,"2022-07-03"
"VOS PROTEINES","POISSON MAQUERO IMPORTE (kg)","SAN-PÉDRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE MOUTON (kg)","SAN-PÉDRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","KPLO (unité moyen)","SAN-PÉDRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","PONDEUSES (kg)","SAN-PÉDRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE PORC (kg)","SAN-PÉDRO",,,,,"2022-07-03"
"VOS PROTEINES","COTE DE PORC (kg","SAN-PÉDRO",,,,,"2022-07-03"
"VOS PROTEINES","PATE DE PORC (kg)","SAN-PÉDRO",,,,,"2022-07-03"
"VOS PROTEINES","PATE DE BŒUF (kg)","SAN-PÉDRO",,,,,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF SANS OS (kg)","BOUAKÉ",2800,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF AVEC OS (kg)","BOUAKÉ",2500,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","POISSON SOSSO IMPORTE (kg)","BOUAKÉ",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CHICHARD IMPORTE (kg)","BOUAKÉ",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CARPE IMPORTE (kg)","BOUAKÉ",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON THON  (kg)","BOUAKÉ",,,,,"2022-07-03"
"VOS PROTEINES","POISSON MAQUERO IMPORTE (kg)","BOUAKÉ",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE MOUTON (kg)","BOUAKÉ",4000,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","KPLO (unité moyen)","BOUAKÉ",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","PONDEUSES (kg)","BOUAKÉ",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE PORC (kg)","BOUAKÉ",,,,,"2022-07-03"
"VOS PROTEINES","COTE DE PORC (kg","BOUAKÉ",,,,,"2022-07-03"
"VOS PROTEINES","PATE DE PORC (kg)","BOUAKÉ",,,,,"2022-07-03"
"VOS PROTEINES","PATE DE BŒUF (kg)","BOUAKÉ",,,,,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF SANS OS (kg)","YAKRO",3000,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF AVEC OS (kg)","YAKRO",2500,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","POISSON SOSSO IMPORTE (kg)","YAKRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CHICHARD IMPORTE (kg)","YAKRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CARPE IMPORTE (kg)","YAKRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON THON  (kg)","YAKRO",,,,,"2022-07-03"
"VOS PROTEINES","POISSON MAQUERO IMPORTE (kg)","YAKRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE MOUTON (kg)","YAKRO",4000,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","KPLO (unité moyen)","YAKRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","PONDEUSES (kg)","YAKRO",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE PORC (kg)","YAKRO",,,,,"2022-07-03"
"VOS PROTEINES","COTE DE PORC (kg","YAKRO",,,,,"2022-07-03"
"VOS PROTEINES","PATE DE PORC (kg)","YAKRO",1200,,,,"2022-07-03"
"VOS PROTEINES","PATE DE BŒUF (kg)","YAKRO",2000,,,,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF SANS OS (kg)","MAN",2800,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","VIANDE DE BŒUF AVEC OS (kg)","MAN",2600,"moyen","hausse",,"2022-07-03"
"VOS PROTEINES","POISSON SOSSO IMPORTE (kg)","MAN",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CHICHARD IMPORTE (kg)","MAN",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON CARPE IMPORTE (kg)","MAN",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","POISSON THON  (kg)","MAN",,,,,"2022-07-03"
"VOS PROTEINES","POISSON MAQUERO IMPORTE (kg)","MAN",,"moyen","stable",,"2022-07-03"
"VOS PROTEINES","VIANDE DE MOUTON (kg)","MAN",5000,"moyen","stable",,"2022-07-03"
